"","Category","mean_competitive"
"1","Antique/Art/Craft",0.520833333333333
"2","Automotive",0.333333333333333
"3","Books",0.518518518518518
"4","Business/Industrial",0.8
"5","Clothing/Accessories",0.525641025641026
"6","Coins/Stamps",0.333333333333333
"7","Collectibles",0.561728395061728
"8","Computer",0.666666666666667
"9","Electronics",0.8
"10","EverythingElse",0.111111111111111
"11","Health/Beauty",0.2
"12","Home/Garden",0.67741935483871
"13","Jewelry",0.466666666666667
"14","Music/Movie/Game",0.570247933884298
"15","Photography",0.777777777777778
"16","Pottery/Glass",0.3
"17","SportingGoods",0.698795180722892
"18","Toys/Hobbies",0.507142857142857
